"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5956","should show no results state for a nonsense query","UI (E2E)","2026-07-13","passed","2026-07-13","Global Search","search/global-search-empty.spec.ts","",""
"","10473","should navigate Reports tab and open a report","UI (E2E)","2026-07-13","passed","2026-07-13","Reports and Dashboards","reports/view-report.spec.ts","",""
"","504","testGetContactCountForAccount_withContacts","","","passed","","","Apex","Apex.ContactServiceTest",""
"","22471","should create a new Case","UI (E2E)","2026-07-13","passed","2026-07-13","Cases","cases/create-case.spec.ts","",""
"","274","testIsOverdue_closedPastCloseDate","","","passed","","","Apex","Apex.OpportunityServiceTest",""
"","371","returns 400 MALFORMED_QUERY for invalid SOQL","API","2026-07-13","passed","2026-07-13","API: validation & errors","api/validation/errors.spec.ts","",""
"","18872","should create a new Contact linked to an Account","UI (E2E)","2026-07-13","passed","2026-07-13","Contacts","contacts/create-contact.spec.ts","",""
"","1937","should navigate to forgot password flow","UI (E2E)","2026-07-13","passed","2026-07-13","Authentication","auth/forgot-password.spec.ts","",""
"","5468","should comment on a Chatter post","UI (E2E)","2026-07-13","passed","2026-07-13","Chatter","chatter/chatter.spec.ts","",""
"","252","returns 401 for a request with no bearer token","API","2026-07-13","passed","2026-07-13","API: validation & errors","api/validation/errors.spec.ts","",""
"","1428","should show an error for invalid credentials","UI (E2E)","2026-07-13","passed","2026-07-13","Authentication","auth/login-invalid.spec.ts","",""
"","3154","should log in with valid credentials and land on Home","UI (E2E)","2026-07-13","skipped","2026-07-13","Authentication","auth/login-valid.spec.ts","",""
"","282","rejects a create that references an unknown field (400)","API","2026-07-13","passed","2026-07-13","API: validation & errors","api/validation/errors.spec.ts","",""
"","248","testGetContactCountForAccount_noContacts","","","passed","","","Apex","Apex.ContactServiceTest",""
"","18617","should create a new Opportunity linked to an Account","UI (E2E)","2026-07-13","passed","2026-07-13","Opportunities","opportunities/create-opportunity.spec.ts","",""
"","5991","should return results for a known Account name","UI (E2E)","2026-07-13","passed","2026-07-13","Global Search","search/global-search-account.spec.ts","",""
"","7501","authenticate","setup","2026-07-13","passed","2026-07-13","","auth.setup.ts","",""
"","294","testGetTotalOpenOpportunityAmount_withOpenOpportunities","","","passed","","","Apex","Apex.AccountServiceTest",""
"","1570","finds a seeded record by an exact field filter","API","2026-07-13","passed","2026-07-13","API: SOQL query","api/query/soql.spec.ts","",""
"","3122","traverses a parent relationship in the SELECT clause","API","2026-07-13","passed","2026-07-13","API: SOQL query","api/query/soql.spec.ts","",""
"","5211","should post an update to Chatter feed","UI (E2E)","2026-07-13","passed","2026-07-13","Chatter","chatter/chatter.spec.ts","",""
"","2799","creates, retrieves, updates, and deletes an Opportunity","API","2026-07-13","passed","2026-07-13","API: Opportunity CRUD","api/crud/opportunity.spec.ts","",""
"","361","testGetTotalOpenOpportunityAmount_nullAmount","","","passed","","","Apex","Apex.AccountServiceTest",""
"","6517","should navigate primary tabs within the Service app","UI (E2E)","2026-07-13","passed","2026-07-13","Navigation and App Switching","navigation/service-tabs.spec.ts","",""
"","10572","should edit an existing Account","UI (E2E)","2026-07-13","passed","2026-07-13","Accounts","accounts/edit-account.spec.ts","",""
"","8618","should log out successfully","UI (E2E)","2026-07-13","passed","2026-07-13","Authentication","auth/logout.spec.ts","",""
"","10735","should update Case status","UI (E2E)","2026-07-13","passed","2026-07-13","Cases","cases/update-case-status.spec.ts","",""
"","396","testGetOpenCaseCountForAccount_mixedCases","","","passed","","","Apex","Apex.CaseServiceTest",""
"","11510","should edit an existing Contact","UI (E2E)","2026-07-13","passed","2026-07-13","Contacts","contacts/edit-contact.spec.ts","",""
"","324","testGetTotalOpenOpportunityAmount_noOpportunities","","","passed","","","Apex","Apex.AccountServiceTest",""
"","421","rejects a create that omits a required field (400 REQUIRED_FIELD_MISSING)","API","2026-07-13","passed","2026-07-13","API: validation & errors","api/validation/errors.spec.ts","",""
"","8645","should create a Task from an Assistant recommendation","UI (E2E)","2026-07-13","passed","2026-07-13","Home Page Widgets","home/assistant-new-task.spec.ts","",""
"","15100","should create a new Account","UI (E2E)","2026-07-13","passed","2026-07-13","Accounts","accounts/create-account.spec.ts","",""
"","269","testIsOverdue_openPastCloseDate","","","passed","","","Apex","Apex.OpportunityServiceTest",""
"","6148","should open App Launcher and list available apps","UI (E2E)","2026-07-13","passed","2026-07-13","Navigation and App Switching","navigation/app-launcher-list.spec.ts","",""
"","13633","should delete a Contact","UI (E2E)","2026-07-13","passed","2026-07-13","Contacts","contacts/delete-contact.spec.ts","",""
"","275","testIsOverdue_openFutureCloseDate","","","passed","","","Apex","Apex.OpportunityServiceTest",""
"","7815","should view Key Deals on Home page","UI (E2E)","2026-07-13","passed","2026-07-13","Opportunities","opportunities/home-key-deals.spec.ts","",""
